method,dataset,auc_mean,auc_std,auc_count,ap_mean,ap_std,ap_count,precision_at_budget_mean,precision_at_budget_std,precision_at_budget_count,recall_at_budget_mean,recall_at_budget_std,recall_at_budget_count,tpr_at_fpr_mean,tpr_at_fpr_std,tpr_at_fpr_count,f1_mean,f1_std,f1_count,mcc_mean,mcc_std,mcc_count
DeepTraLog,FlowGraph,0.9785066666666666,0.02277294300992587,3,0.9855962221088058,0.013519267846616114,3,1.0,0.0,3,0.03,0.0,3,0.9666666666666667,0.028867513459481322,3,0.9795905350276352,0.013595676055633823,3,0.9644008020350299,0.023546841390271862,3
DeepTraLog,TraceLog,0.6471626782003536,0.01633964664607662,3,0.5416232561634101,0.04299863847429846,3,0.6666666666666666,0.5773502691896258,3,0.0192817546396722,0.01669848934749459,3,0.06941431670281993,0.06734999868225604,3,0.1227741553966414,0.1171365476533566,3,0.12098319917253353,0.16660349081535314,3
DeepTraLog-adapted,ADFA-LD,0.760809914747107,0.003814838883035497,3,0.43942442222746864,0.006094791390982007,3,0.6666666666666666,0.1,3,0.026809651474530804,0.0040214477211796,3,0.03932082216264516,0.0015478559495700507,3,0.22702333355640136,0.04118380866307905,3,0.10382948549891358,0.0425238473384814,3
DeepTraLog-adapted,HDFS,0.7379214663266603,0.012029396660996965,3,0.6388988447690856,0.003489206452315856,3,1.0,0.0,3,0.060702875399361,0.0,3,0.4941427050053248,0.0018445695501266319,3,0.6440016377385898,0.0034505803951854026,3,0.6348730651856483,0.005086092430803067,3
GLocalKD,FlowGraph,0.9561333333333333,0.008194567306046943,3,0.9737582965324627,0.0024673194410584683,3,1.0,0.0,3,0.03,0.0,3,0.9499999999999998,0.0,3,0.9727019012733299,0.0028701347761912886,3,0.9526350584666922,0.0053983866379830985,3
GLocalKD,TraceLog,0.6794943844284175,0.005966395409022887,3,0.631848308220288,0.0057360790162146015,3,1.0,0.0,3,0.0289226319595083,0.0,3,0.29115449505905033,0.008924323249734162,3,0.4388363055033507,0.015201057234398007,3,0.4089128412083822,0.027810188517910388,3
GLocalKD-adapted,ADFA-LD,0.7236142827825458,0.011102828271118527,3,0.4163860686988088,0.013365873387535783,3,0.6555555555555556,0.337199797899856,3,0.026362823949955264,0.01356031358846604,3,0.029043789097408363,0.018199653131739334,3,0.25027981636004154,0.022897893544413357,3,0.16350759777678311,0.015547914405409506,3
GLocalKD-adapted,HDFS,0.7558709036271543,0.00566560084979043,3,0.6467325340863311,0.0019272551447789463,3,1.0,0.0,3,0.060702875399361,0.0,3,0.49627263045793396,0.0018445695501265998,3,0.6449813406335146,0.0008499106505289837,3,0.6348064199732493,4.1749247334712915e-05,3
HGT,FlowGraph,0.5374133333333334,0.45602227547931623,3,0.4959778677934001,0.19666352035465465,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,-0.0692693575020802,0.07447988025082225,3
HGT,TraceLog,0.6582973941725373,0.05821646877289368,3,0.5531998604453313,0.06615322653602622,3,0.5833333333333334,0.3642915499065732,3,0.01687153530971317,0.010536270423906672,3,0.1340081947457218,0.11270861830022078,3,0.22771134392254136,0.11953870396828704,3,0.25572975467748815,0.10143029660788944,3
HRA-GNN,FlowGraph,0.6645866666666667,0.5489354138087043,3,0.7461779311469728,0.41308364830147937,3,0.6666666666666666,0.5773502691896258,3,0.02,0.01732050807568877,3,0.6333333333333333,0.5484827557301444,3,0.6462753264783722,0.5597127039608071,3,0.6110481779352901,0.5810125785213649,3
HRA-GNN,TraceLog,0.8149660253015009,0.012284618955066917,3,0.7496855278027933,0.022492523814894708,3,1.0,0.0,3,0.0289226319595083,0.0,3,0.296939021450952,0.06753733897926689,3,0.4482074256520117,0.07903637066274383,3,0.4341379813828883,0.06633182097597694,3
HRGCN,FlowGraph,0.9333333333333332,0.11547005383792512,3,0.8672337055722409,0.22995796748152758,3,0.6666666666666666,0.5773502691896258,3,0.02,0.01732050807568877,3,0.6666666666666666,0.5773502691896258,3,0.6650082918739635,0.5759194467644667,3,0.6437625395612049,0.6092860676095977,3
HRGCN,TraceLog,0.7381082108353404,0.04405176346881695,3,0.6960776327098301,0.03214679017295905,3,1.0,0.0,3,0.0289226319595083,0.0,3,0.33646661846228004,0.005129861810988863,3,0.47945559419868494,0.03182460033476911,3,0.4657691572694156,0.027673696208788227,3
OCHetGCN,ADFA-LD,0.793841220472795,0.0029775844800336553,3,0.5092066140872832,0.0028906661797374333,3,0.14444444444444446,0.05091750772173156,3,0.005808757819481633,0.0020476209539570236,3,0.002680965147453,0.0,3,0.5154208769769416,0.011732604056370683,3,0.39733393864094374,0.010759583629465086,3
OCHetGCN,FlowGraph,0.9556800000000001,0.05607469304418886,3,0.8897801912955258,0.14944426517353981,3,0.6666666666666666,0.5773502691896258,3,0.02,0.017320508075688773,3,0.42,0.518844870842914,3,0.5298731567388284,0.5006598387779652,3,0.47539225065408647,0.5256764806820946,3
OCHetGCN,HDFS,0.736764732565946,0.012435991240898697,3,0.6379934023687285,0.010103025423524465,3,1.0,0.0,3,0.060702875399361,0.0,3,0.49733759318423854,0.0018445695501265917,3,0.6466824547624856,0.005110062994907902,3,0.6411160129719568,0.011071774604484148,3
OCHetGCN,TraceLog,0.706196427994168,0.06029278356830358,3,0.6015316902222008,0.055054100880289496,3,0.6916666666666668,0.28975564417856187,3,0.020004820438659903,0.008380495854766799,3,0.10147023379127497,0.1301525133214349,3,0.2167112438754141,0.16617021113817496,3,0.22960122650869894,0.16736885112628383,3
